> FRESH supplier chain fetched 2026-07-27 via MCP broad role (temp_user lacks
> supplier-schema grant). Format: sku|supplier|container|qty|arrived|expected|recv.
WSCH135YE|Assembling lady 1|Container 17|60|1|2026-01-23|2025-12-19
WSCYMUBG|Assembling lady 1|Container 17|95|1|2026-01-23|2026-01-26
WSCYMUBM|Assembling lady 1|Container 17|13|1|2026-01-23|2026-01-26
WSDM240BC|Pipe lightning Supplier|Container 02 2026|0|0|2026-05-15|2026-03-31
WSDM240BM|Pipe lightning Supplier|Container 7|100|1||2025-08-20
WSFH120BYB|Assembling Lady 2|US Container 02|175|1||2026-01-01
WSFHTYB|Assembling lady 1|Container 01 2026|97|0|2026-05-23|2026-03-31
WSFS120BYB|Assembling Lady 2|US Container 02|275|1||2026-01-01
WSFS1BMBM|Assembling Lady 2|Container 17|120|1|2026-03-12|2025-12-01
WSFS1BMYB|Assembling Lady 2|Container 7|600|1|2025-07-13|2025-07-30
WSFS2BMYB|Assembling Lady 2|Container 7|100|1|2025-07-13|2025-07-30
WSHR135BM|Assembling lady 1|DE Container 03|100|1||2025-08-18
WSHTB3P16GD|Assembling lady 1|Container 01 2026|80|0|2026-04-11|2026-06-11
WSIWCRBM|Pipe lightning Supplier|Container 9|100|1||2025-08-22
WSIWCRPI|Pipe lightning Supplier|Container 08 2026|40|0||2026-07-23
WSIWH70BM|Assembling lady 1|Container 01 2026|100|0|2026-04-11|2026-03-10
WSIWH70YB|Assembling lady 1|Container 01 2026|100|0|2026-04-11|2026-03-10
WSLS10CFGD|Assembling lady 1|Container 01 2026|200|0|2026-04-11|2026-06-11
WSLS155CO|Assembling lady 1|Container 17|100|1|2026-01-23|2025-12-19
WSLS155SN|Assembling lady 1|Container 17|200|1|2026-01-23|2025-12-19
WSLS155YB|Assembling lady 1|Container 08 2026|800|0|2026-08-23|2026-07-23
WSLSH68YBBM|Assembling lady 1|Container 01 2026|70|0|2026-04-11|2026-06-11
WSLSH68YBCF|Assembling lady 1|Container 01 2026|70|0|2026-04-11|2026-06-11
WSLSH68YBGD|Assembling lady 1|Container 01 2026|75|0|2026-04-11|2026-06-11
WSNW170BM|Assembling lady 1|Container 01 2026|150|0|2026-04-11|2026-03-10
WSNW170CO|Ceiling rose guy|Container 9|200|1||2025-11-12
WSNWBM|Brushed Curvy Supplier|DE Container 01 2026|100|0|2026-01-20|2025-12-17
WSRH230YB|Assembling lady 1|Container 8|200|1||2025-08-21
WSSH68CFYB|Assembling lady 1|Container 01 2026|70|0|2026-04-11|2026-06-11
WSSH68YBBM|Assembling lady 1|Container 01 2026|65|0|2026-04-11|2026-06-11
WSSH68YBGD|Assembling lady 1|Container 01 2026|70|0|2026-04-11|2026-06-11
WSSS70BM|Assembling lady 1|DE Container 03|200|1||2025-08-18
WSSS70CH|Assembling lady 1|DE Container 02 2026|100|0|2026-06-30|2026-05-22
WSSS70CO|Assembling lady 1|DE Container 01 2026|140|0|2026-04-30|2026-03-18
WSSS70SN|Assembling lady 1|Container 04 2026|200|0|2026-07-16|2026-06-01
WSSS70YB|Assembling lady 1|DE Container 03|200|1||2025-08-18
WSST70BM|Assembling lady 1|Container 8|100|1||2025-08-21
WSST70CO|Assembling lady 1|Container 17|100|1|2026-01-23|2025-12-19
WSST70FG|Assembling lady 1|Container 13|100|1|2025-12-03|2025-10-24
WSST70GB|Assembling lady 1|Container 13|100|1|2025-12-03|2025-10-24
WSTR135BM|Assembling lady 1|Container 05 2026|100|0||2026-07-06
WSUSHE27BM|Assembling lady 1|Container 01 2026|170|0|2026-04-11|2026-06-11
WSUSHE27CO|Assembling lady 1|Container 01 2026|170|0|2026-04-11|2026-06-11
WSUSHE27WH|Assembling lady 1|Container 01 2026|87|0|2026-04-11|2026-06-11
WSWH135BM|Assembling lady 1|mixed|200|1||2025-07-29
WSWR1PFTBM|Assembling lady 1|Container 13|100|1|2025-12-03|2025-10-24
WSWS1PHTBM|Assembling lady 1|Container 01 2026|34|0|2026-04-11|2026-03-10
